,id,imdbid,title,rating,year
106,5063,0000455,"Music Lover, The",0,1903
107,5064,0223755,"Monster, The",0,1903
108,5683,0189498,"Enchanted Well, The",0,1903
109,5224,0215664,"Cook in Trouble, The",0,1904
110,5404,0135179,"Living Playing Cards, The",0,1904
111,5601,0135631,"Untamable Whiskers, The",0,1904
112,6135,0000499,Le voyage a travers l&#39;impossible,0,1904
113,5003,0135690,"Scheming Gambler&#39;s Paradise, The",0,1905
114,5602,0215575,"Black Imp, The",0,1905
115,1349,0000574,"Story of the Kelly Gang, The",1,1906
116,5024,0216016,"Mysterious Retort, The",0,1906
117,5435,0000554,Humorous Phases of Funny Faces,0,1906
118,5603,0135122,"Hilarious Posters, The",0,1906
119,5684,0000567,"400 Tricks of the Devil, The",0,1906
120,6206,0449172,A Funny Shave,0,1906
121,7215,1260944,"Consequence of Feminism, The",0,1906
122,5223,0215737,"Eclipse: Courtship of the Sun and Moon, The",0,1907
123,5615,0215817,Good Glue Sticks,0,1907
124,6231,1802750,Unusual Cooking,0,1908
125,4409,0001009,"Princess Nicotine; or, The Smoke Fairy",2,1909
126,5635,0127948,"Devilish Tenant, The",0,1909
127,6211,0277596,Le barometre de la fidelite,1,1909
128,1464,0232821,Tilly the Tomboy Visits the Poor,3,1910
129,4983,0486978,Mobilier fidele,0,1910
130,5685,1515725,A Trip to Mars,0,1910
131,2003,0002101,Cleopatra,2,1912
132,2005,0002281,"Invaders, The",0,1912
133,5357,0277865,Max and the Donkey,0,1912
134,5364,0003512,"Voyage of the Bourrichon Family, The",0,1913
135,5915,0003424,Suspense,0,1913
136,4457,0003973,A Florida Enchantment,2,1914
137,1258,0004972,"Birth of a Nation, The",2,1915
138,2008,0006745,Gretchen the Greenhorn,3,1916
139,2014,0279914,Lady Windermere&#39;s Fan,3,1916
140,5368,0007507,"Vagabond, The",0,1916
141,5944,0006864,Intolerance: Love&#39;s Struggle Throughout the Ages,0,1916
142,7004,0007361,Snow White,3,1916
143,1981,0008652,A Tale of Two Cities,3,1917
144,1993,0008499,Rebecca of Sunnybrook Farm,3,1917
145,1994,0008443,"Poor Little Rich Girl, The",3,1917
146,2015,0008519,A Romance of the Redwoods,0,1917
147,2019,0008489,"Raffles, the Amateur Cracksman",2,1917
148,1996,0009682,Tarzan of the Apes,3,1918
149,2007,0009652,Stella Maris,3,1918
150,5441,0008844,Are Crooks Dishonest?,0,1918
151,7108,0010281,Ich mochte kein Mann sein,3,1918
152,2018,0010879,When the Clouds Roll by,3,1919
153,2588,0009968,Broken Blossoms or The Yellow Man and the Girl,0,1919
154,1306,0010323,"Cabinet of Dr. Caligari, The",0,1920
155,1991,0011588,Pollyanna,3,1920
156,5948,0011870,Within Our Gates,3,1920
157,1263,0012532,Orphans of the Storm,3,1921
158,3945,0012349,"Kid, The",0,1921
159,4204,0011979,"Blot, The",3,1921
160,5898,0012364,K&ouml;rkarlen (The Phantom Carriage),2,1921
161,1307,0013442,"Nosferatu, eine Symphonie des Grauens",2,1922
162,1631,0013496,"Phantom, The",2,1922
163,1778,0013428,Nathan der Weise,2,1922
164,2001,0013367,"Man from Beyond, The",1,1922
165,3800,0013257,H&auml;xan: Witchcraft Through the Ages,3,1922
166,5361,0012543,"Paleface, The",0,1922
167,5901,0013427,Nanook of the North,1,1922
168,5958,0013140,Foolish Wives,3,1922
169,5967,0013086,"Dr. Mabuse, der Spieler - Ein Bild der Zeit",3,1922
170,1961,0014429,Safety Last!,0,1923
171,1967,0014611,Why Worry?,0,1923
172,1998,0014469,"Silent Command, The",2,1923
173,5888,0013626,La souriante Madame Beudet,3,1923
174,5949,0014341,Our Hospitality,0,1923
175,8947,0014624,A Woman of Paris,2,1923
176,1337,0015175,Die Nibelungen,2,1924
177,1338,0015174,Kriemhild&#39;s Revenge,2,1924
178,1264,0015400,"Thief of Bagdad, The",0,1924
179,1960,0015498,Wild Oranges,0,1924
180,2009,0015163,"Navigator, The",0,1924
181,2011,0015324,Sherlock Jr.,0,1924
182,2016,0014945,Girl Shy,0,1924
183,2020,0015116,Manhandled,3,1924
184,2413,1764657,"Great White Silence, The",0,1924
185,6209,0013845,Help!,0,1924
186,8458,0015881,Greed,3,1924
187,1305,0016220,"Phantom of the Opera, The",2,1925
188,1308,0015648,Battleship Potemkin,0,1925
189,1309,0015864,"Gold Rush, The",0,1925
190,1978,0015863,Go West,0,1925
191,2012,0015841,"Freshman, The",0,1925
192,3077,0016332,Seven Chances,0,1925
193,5514,0016039,"Lost World, The",2,1925
194,5962,0015624,"Big Parade, The",2,1925
195,5991,0015361,Stachka,0,1925
196,1334,0017449,"Temptress, The",1,1926
197,1260,0016884,Flesh and the Devil,1,1926
198,1310,0017925,"General, The",0,1926
199,1966,0016895,For Heaven&#39;s Sake,0,1926
200,3217,0017410,So&#39;s Your Old Man,3,1926
201,5974,0015532,Die Abenteuer des Prinzen Achmed,1,1926
202,1227,0018033,It,3,1927
203,1267,0017136,Metropolis,1,1927
204,1312,0018192,Abel Gance&#39;s Napoleon,2,1927
205,1311,0018528,"Unknown, The",0,1927
206,1632,0018455,Sunrise: A Song of Two Humans,2,1927
207,1964,0018051,"Kid Brother, The",0,1927
208,1982,0018199,Nevada,0,1927
209,2010,0018183,My Best Girl,3,1927
210,3118,0018578,Wings,1,1927
211,5975,0018037,"Jazz Singer, The",1,1927
212,7324,0017825,Downhill [When Boys Leave Home],1,1927
213,11142,0017739,"Cat and the Canary, The",3,1927
214,1314,0019254,"Passion of Joan of Arc, The",0,1928
215,1963,0019412,Speedy,0,1928
216,1968,0018773,"Circus, The",0,1928
217,1970,0018742,"Cameraman, The",0,1928
218,1971,0019421,"Steamboat Bill, Jr.",0,1928
219,1972,0019304,"Racket, The",0,1928
220,1977,0018684,Beggars of Life,0,1928
221,1979,0019290,"Power of the Press, The",1,1928
222,1980,0018937,A Girl in Every Port,0,1928
223,2013,0019258,"Patsy, The",3,1928
224,2017,0019571,While the City Sleeps,2,1928
225,2021,0019130,"Man Who Laughs, The",2,1928
226,5912,0018806,"Crowd, The",1,1928
227,5984,0018839,"Docks of New York, The",2,1928
228,9314,0019237,Our Dancing Daughters,2,1928
229,1313,0020530,Un chien andalou,0,1929
230,1953,0019777,"Cocoanuts, The",2,1929
231,1962,0020572,Welcome Danger,0,1929
232,2324,0018737,Pandora&#39;s Box (Die B&uuml;chse der Pandora),3,1929
233,3897,0019760,Man with a Movie Camera,0,1929
234,5979,0019702,Blackmail,2,1929
235,6046,0020286,Throw of the Dice,0,1929
236,7287,0021015,Juno and the Paycock [The Shame of Mary Boyle],3,1929
237,8464,0019729,Broadway Melody,3,1929
238,1315,0020697,"Blue Angel, The",1,1930
239,1316,0020629,All Quiet on the Western Front,0,1930
240,1326,0020641,Anna Christie,3,1930
241,3713,0021040,Ladies of Leisure,3,1930
242,3871,0021577,L&#39;Age d&#39;Or,0,1930
243,3865,0021156,Morocco,1,1930
244,3927,0021148,Min and Bill,3,1930
245,4253,0020670,Be Yourself,2,1930
246,6782,0020668,"Bat Whispers, The",3,1930
247,7291,0021165,Murder!,3,1930
248,8463,0020640,Animal Crackers,3,1930
249,610,0022100,M,3,1931
250,628,0022183,M&auml;dchen in Uniform,3,1931
251,636,0022208,Night Nurse,3,1931
252,1317,0021884,Frankenstein,1,1931
253,1327,0020642,Anna Christie,3,1931
254,1333,0023196,Mata Hari,3,1931
255,1633,0022458,Tabu: A Story of the South Seas,0,1931
256,1828,0022000,Indiscreet,3,1931
257,1956,0022054,"Last Flight, The",0,1931
258,1974,0022251,Pardon Us,0,1931
259,1985,0021814,Dracula,2,1931
260,2384,0022158,Monkey Business,1,1931
261,2705,0021749,City Lights,3,1931
262,4243,0022074,"Smiling Lieutenant, The",2,1931
263,5741,0021735,"Cheat, The",3,1931
264,5934,0022286,"Public Enemy, The",3,1931
265,6030,0021739,La Chienne,3,1931
266,6031,0022599,A Nous la Liberte,1,1931
267,6043,0021079,Little Caesar,1,1931
268,7294,0022395,"Skin Game, The",3,1931
269,7296,0023395,Rich and Strange [East of Shanghai],2,1931
270,8213,0021815,Dracula,3,1931
271,8467,0021746,Cimarron,3,1931
272,8557,0021985,Hyppolit a lakaj,1,1931
273,9095,0022397,Skippy,3,1931
274,9110,0021730,"Champ, The",1,1931
275,1318,0023042,I Am a Fugitive from a Chain Gang,1,1932
276,1328,0022958,Grand Hotel,3,1932
277,1983,0022614,"Age of Consent, The",2,1932
278,2383,0023027,Horse Feathers,1,1932
279,2550,0023694,White Zombie,0,1932
280,2767,0022718,Boudu Saved from Drowning,1,1932
281,3530,0023634,"I Was Born, But...",1,1932
282,3658,0023238,"Most Dangerous Game, The",0,1932
283,3659,0022913,Freaks,2,1932
284,3844,0024188,Island of Lost Souls,1,1932
285,4775,0023293,"Old Dark House, The",3,1932
286,5742,0023213,Merrily We Go to Hell,3,1932
287,5783,0022940,"Girl from Calgary, The",2,1932
288,5910,0023649,Vampyr,3,1932
289,5929,0023458,Shanghai Express,3,1932
290,6051,0023590,Three on a Match,3,1932
291,6052,0023158,Love Me Tonight,2,1932
292,6063,0023427,Scarface,1,1932
293,6092,0023385,Red-Headed Woman,3,1932
294,6176,0023935,"Death Kiss, The",1,1932
295,6852,0023582,Thirteen Women,3,1932
296,6990,0022694,"Blue Light (Das Blaue Licht), The",1,1932
297,7301,0023285,Number 17,0,1932
298,10705,0023814,"Bitter Tea of General Yen, The",3,1932
299,802,0024028,Footlight Parade,3,1933
300,1330,0024481,Queen Christina,3,1933
301,1248,0024473,"Private Life of Henry VIII., The",1,1933
302,2229,0024216,King Kong,0,1933
303,2231,0024264,Little Women,3,1933
304,3188,0023753,Alice in Wonderland,3,1933
305,3210,0024727,"Vampire Bat, The",3,1933
306,4335,0024034,42nd Street,3,1933
307,5029,0023932,Day of Reckoning,3,1933
308,5185,0023969,Duck Soup,1,1933
309,5752,0024679,Tomorrow at Seven,3,1933
310,5916,0024069,Gold Diggers of 1933,3,1933
311,6056,0024008,Female,3,1933
312,6193,0024625,A Study in Scarlet,3,1933
313,6205,0024432,"Peanut Vendor, The",0,1933
314,7450,0024184,"Invisible Man, The",1,1933
315,7528,0023775,Baby Face,3,1933
316,8346,0023940,Design for Living,1,1933
317,8477,0023876,Cavalcade,3,1933
318,10492,0024210,"Kennel Murder Case, The",1,1933
319,10702,0024548,She Done Him Wrong,2,1933
320,10714,0024601,Sons of the Desert,3,1933
321,621,0025316,It Happened One Night,3,1934
322,1324,0024961,"Cat&#39;s-Paw, The",1,1934
323,1325,0025746,"Scarlet Empress, The",3,1934
324,1329,0025617,"Painted Veil, The",1,1934
325,1246,0025004,"Count of Monte Cristo, The",1,1934
326,1270,0024991,Cleopatra,1,1934
327,1379,0025586,Of Human Bondage,1,1934
328,1795,0024844,L&#39;atalante,0,1934
329,1969,0025423,"Lost Patrol, The",0,1934
330,4443,0025822,Spitfire,3,1934
331,4702,0025465,Maniac,3,1934
332,5319,0024831,Anne of Green Gables,3,1934
333,5523,0025424,Lost in the Stratosphere,2,1934
334,5821,0025755,Search for Beauty,3,1934
335,6772,0025091,Evelyn Prentice,3,1934
336,7304,0025452,"Man Who Knew Too Much, The",3,1934
337,7999,0025301,Imitation of Life,3,1934
338,8653,0025543,Mystery Liner,0,1934
339,10824,0025318,It&#39;s a Gift,3,1934
340,595,0027125,Top Hat,2,1935
341,1242,0026029,"39 Steps, The",3,1935
342,1261,0026071,Anna Karenina,2,1935
343,1361,0026752,Mutiny on the Bounty,1,1935
344,1685,0026768,Naughty Marietta,3,1935
345,2362,0026942,Roberta,3,1935
346,2756,0026667,Magnificent Obsession,3,1935
347,3881,0026778,A Night At The Opera,1,1935
348,3891,0026138,"Bride of Frankenstein, The",3,1935
349,5750,0026599,"Lady in Scarlet, The",2,1935
350,5913,0026939,"Riverside Murder, The",2,1935
351,7998,0026663,Mad Love,2,1935
352,596,0028333,Swing Time,1,1936
353,1323,0027977,Modern Times,0,1936
354,1237,0027438,"Charge of the Light Brigade, The",1,1936
355,1359,0028216,San Francisco,1,1936
356,1360,0028505,Wife vs. Secretary,2,1936
357,1369,0028096,"Petrified Forest, The",3,1936
358,1992,0027996,Mr. Deeds Goes to Town,3,1936
359,2363,0027387,Born to Dance,3,1936
360,2554,0028174,Revolt of the Zombies,0,1936
361,2699,0027562,Earthworm Tractors,1,1936
362,2853,0028021,Osaka Elegy,3,1936
363,3280,0028355,Theodora Goes Wild,3,1936
364,3401,0027698,"Great Ziegfeld, The",3,1936
365,3548,0029207,"Mandarin Mystery, The",3,1936
366,3560,0027752,"Only Son, The",3,1936
367,3598,0028683,Camille,3,1936
368,4010,0028092,Pennies from Heaven,3,1936
369,4069,0028203,Romeo and Juliet,3,1936
370,4143,0027407,Bullets or Ballots,3,1936
371,5852,0028010,My Man Godfrey,2,1936
372,5926,0028212,Sabotage,3,1936
373,6096,0027652,Fury,2,1936
374,6174,0028000,Murder at Glen Athol,3,1936
375,6210,3427056,Il caso Valdemar,0,1936
376,7227,0028356,These Three,2,1936
377,7308,0028231,Secret Agent,3,1936
378,7992,0027545,Dracula&#39;s Daughter,3,1936
379,597,0029546,Shall We Dance,1,1937
380,631,0029604,Stage Door,3,1937
381,795,0029608,Stella Dallas,3,1937
382,1332,0028739,Conquest,2,1937
383,1335,0029682,Topper,2,1937
384,1336,0029162,Lost Horizon,2,1937
385,1240,0029442,"Prisoner of Zenda, The",1,1937
386,1244,0029087,Knight Without Armor,2,1937
387,1358,0029377,Parnell,2,1937
388,1976,0029583,Snow White and the Seven Dwarfs,3,1937
389,2382,0028772,A Day at the Races,2,1937
390,3968,0029322,Nothing Sacred,0,1937
391,4255,0029192,Make Way for Tomorrow,3,1937
392,5617,0029565,Murder at the Baskervilles (Silver Blaze),1,1937
393,5740,0029453,Pepe le Moko,2,1937
394,6554,0028597,"Awful Truth, The",3,1937
395,7317,0029811,"Girl Was Young, The",3,1937
396,7877,0029217,Marked Woman,3,1937
397,8473,0027552,"Bizarre, Bizarre",3,1937
398,8478,0029146,"Life of Emile Zola, The",1,1937
399,10352,0029751,Wee Willie Winkie,3,1937
400,10838,0028691,Captains Courageous,0,1937
401,594,0029971,Carefree,2,1938
402,620,0030341,"Lady Vanishes, The",3,1938
403,994,0030241,Holiday,3,1938
404,1238,0030044,"Dawn Patrol, The",0,1938
405,1367,0030287,Jezebel,2,1938
406,1378,0030755,"Sisters, The",2,1938
407,2467,0029942,Boys Town,0,1938
408,2590,0030473,"Mr. Wong, Detective",1,1938
409,3103,0029843,"Adventures of Robin Hood, The",2,1938
410,3283,0029929,Bluebeard&#39;s Eighth Wife,2,1938
411,3400,0029947,Bringing Up Baby,3,1938
412,3951,0030149,Four Daughters,3,1938
413,4495,0030396,"Mad Miss Manton, The",3,1938
414,6042,0030127,"Baker&#39;s Wife, The",1,1938
415,7290,0029870,Angels with Dirty Faces,1,1938
416,174,0032138,"Wizard of Oz, The",3,1939
417,291,0031381,Gone with the Wind,3,1939
418,383,0031235,Dodge City,2,1939
419,588,0032143,"Women, The",3,1939
420,593,0031971,Stagecoach,3,1939
421,1239,0032145,Wuthering Heights,2,1939
422,1245,0031385,"Goodbye, Mr. Chips",2,1939
423,1259,0031725,Ninotchka,3,1939
424,1368,0031516,Juarez,2,1939
425,1370,0031210,Dark Victory,3,1939
426,1371,0031826,Essex and Elizabeth,2,1939
427,1382,0032155,Young Mr. Lincoln,2,1939
428,1383,0031507,Jesse James,2,1939
429,1384,0031252,Drums Along the Mohawk,2,1939
430,1385,0031981,"Story of Alexander Graham Bell, The",2,1939
431,1973,0031322,"Flying Deuces, The",0,1939
432,2086,0031455,"Hunchback of Notre Dame, The",0,1939
433,2372,0031060,At the Circus,2,1939
434,2555,0031387,"Gorilla, The",3,1939
435,2622,0031680,Mr. Wong in Chinatown,1,1939
436,2851,0031742,Of Mice and Men,1,1939
437,3089,0031885,"Rules of the Game, The",3,1939
438,3723,0031066,Babes in Arms,3,1939
439,5634,0031225,Destry Rides Again,3,1939
440,5763,0031709,Nancy Drew... Reporter,3,1939
441,5863,0031022,"Adventures of Sherlock Holmes, The",3,1939
442,5946,0031679,Mr. Smith Goes to Washington,2,1939
443,7322,0031505,Jamaica Inn,3,1939
444,8098,0031514,Le jour se l&egrave;ve,2,1939
445,8511,0031397,Gulliver&#39;s Travels,0,1939
446,9038,0031593,Love Affair,3,1939
447,10848,0031398,Gunga Din,0,1939
448,10880,0031762,Only Angels Have Wings,2,1939
449,478,0032910,Pinocchio,1,1940
450,618,0032976,Rebecca,3,1940
451,1265,0033152,"Thief of Bagdad, The",0,1940
452,1501,0032811,"Mortal Storm, The",3,1940
453,1355,0032349,Comrade X,2,1940
454,1356,0032273,Boom Town,1,1940
455,1357,0033105,Strange Cargo,0,1940
456,1366,0032983,"Return of Frank James, The",0,1940
457,1373,0032194,"All This, and Heaven Too",2,1940
458,1380,0032701,"Letter, The",2,1940
459,1387,0032551,"Grapes of Wrath, The",3,1940
460,1975,0032339,A Chump at Oxford,0,1940
461,2556,0032215,"Ape, The",3,1940
462,2678,0033021,Santa Fe Trail,1,1940
463,3033,0032599,His Girl Friday,3,1940
464,3050,0033028,"Sea Hawk, The",3,1940
465,3470,0032553,"Great Dictator, The",3,1940
466,4257,0032943,Pride and Prejudice,3,1940
467,4354,0032946,Primrose Path,3,1940
468,4363,0032406,Chamber of Horrors / Door with the Seven Locks,2,1940
469,4415,0032376,"Dance, Girl, Dance",3,1940
470,4943,0032904,"Philadelphia Story, The",3,1940
471,5039,0032455,Fantasia,0,1940
472,5320,0032211,Anne Of Windy Poplars,3,1940
473,5773,0031359,Gaslight,3,1940
474,5802,0032690,"Last Alarm, The",3,1940
475,7311,0032484,Foreign Correspondent,1,1940
476,7861,0033045,"Shop Around the Corner, The",3,1940
477,8480,0032676,Knute Rockne All American,1,1940
478,1331,0034328,Two-Faced Woman,2,1941
479,1512,0034175,"Shanghai Gesture, The",3,1941
480,1230,0033870,"Maltese Falcon, The",1,1941
481,1266,0033467,Citizen Kane,1,1941
482,1117,0033563,Dumbo,2,1941
483,1372,0033836,"Little Foxes, The",2,1941
484,1386,0033804,"Lady Eve, The",2,1941
485,1682,0033533,"Devil and Miss Jones, The",3,1941
486,1941,0033727,Mr. Bug Goes to Town,1,1941
487,2410,0033717,High Sierra,1,1941
488,2436,0034398,"Wolf Man, The",2,1941
489,2446,0033459,Cheers for Miss Bishop,3,1941
490,2468,0033902,Men of Boys Town,1,1941
491,2867,0033627,49th Parallel,0,1941
492,2906,0033436,Buck Privates,3,1941
493,2910,0033723,Hold That Ghost,3,1941
494,3717,0033891,Meet John Doe,3,1941
495,4359,0034240,Sullivan&#39;s Travels,3,1941
496,6171,0033928,Murder by Invitation,3,1941
497,6318,0033802,Ladies In Retirement,1,1941
498,7329,0034248,Suspicion,3,1941
499,8625,0034241,Sun valley serenade,0,1941
500,8983,0033729,How Green Was My Valley,3,1941
501,9025,0034091,"Reluctant Dragon, The",3,1941
502,9192,0033787,King of the Zombies,3,1941
503,10347,0033373,Ball of Fire,2,1941
504,681,0035019,"Major and the Minor, The",3,1942
505,689,0035140,"Now, Voyager",3,1942
506,1076,0034583,Casablanca,1,1942
507,1289,0035015,"Magnificent Ambersons, The",2,1942
508,1116,0034492,Bambi,1,1942
509,1388,0035360,Son of Fury: The Story of Benjamin Blake,1,1942
510,1675,0034746,For Me and My Gal,3,1942
511,1686,0034882,I Married an Angel,3,1942
512,2708,0034587,Cat People,3,1942
513,3518,0034521,Black Dragons,0,1942
514,3789,0034591,There Was a Father,0,1942
515,3875,0035415,Tales of Manhattan,2,1942
516,4475,0033874,"Man Who Came to Dinner, The",3,1942
517,4870,0035567,Woman of the Year,3,1942
518,5303,0035446,To Be or Not to Be,0,1942
519,5859,0035317,Sherlock Holmes and the Secret Weapon,1,1942
520,5938,0035279,Saboteur,1,1942
521,5939,0035279,Saboteur,1,1942
522,6384,0035093,Mrs. Miniver,3,1942
523,7696,0036326,Saludos Amigos,0,1942
524,7697,0034613,"Corpse Vanishes, The",1,1942
525,10343,0034770,"Gay Sisters, The",3,1942
526,1374,0036230,Old Acquaintance,3,1943
527,1375,0036515,Watch on the Rhine,3,1943
528,1691,0035942,Girl Crazy,1,1943
529,1955,0036027,I Walked with a Zombie,3,1943
530,1959,0036363,"Sky&#39;s the Limit, The",1,1943
531,1987,0036323,Sahara,0,1943
532,1988,0035957,Guadalcanal Diary,0,1943
533,2407,0036418,Tender Comrade,3,1943
534,3753,0036506,Day of Wrath,3,1943
535,3839,0036112,"Life and Death of Colonel Blimp, The",2,1943
536,3890,0035753,Le Corbeau: The Raven,3,1943
537,4617,0036342,Shadow of a Doubt,3,1943
538,4699,0036400,Judo Saga (Sanshiro Sugata),0,1943
539,5209,0035770,Cry &#39;Havoc&#39;,3,1943
540,5554,0035881,Fires Were Started,0,1943
541,6310,0036244,"Ox-Bow Incident, The",1,1943
542,6315,0036367,So Proudly We Hail!,3,1943
543,6781,0036969,Jane Eyre,3,1943
544,7410,0036172,"More the Merrier, The",1,1943
545,7475,0035017,La main du diable,1,1943
546,7834,0035636,Angels of Sin,3,1943
547,8090,0036341,"Seventh Victim, The",3,1943
548,8501,0035735,China,3,1943
549,8801,0035160,Ossessione,1,1943
550,10283,0036160,Millions Like Us,3,1943
551,10778,0035979,Heaven Can Wait,3,1943
552,201,0036613,Arsenic and Old Lace,3,1944
553,1416,0036775,Double Indemnity,3,1944
554,1376,0037094,Mr. Skeffington,2,1944
555,1676,0037059,Meet Me in St. Louis,3,1944
556,1683,0036891,Hail the Conquering Hero,2,1944
557,2045,0036914,Torment,0,1944
558,2181,0037469,Window in the Window,1,1944
559,2715,0037008,Laura,3,1944
560,3134,0036723,Cover Girl,3,1944
561,3154,0037280,Since You Went Away,3,1944
562,3245,0037382,To Have and Have Not,3,1944
563,3279,0036940,I&#39;ll Be Seeing You,3,1944
564,4222,0037120,National Velvet,3,1944
565,4698,0036947,"Most Beautiful (Ichiban utsukushiku), The",3,1944
566,5983,0037017,Lifeboat,3,1944
567,6319,0038166,"Three Caballeros, The",0,1944
